review,rating,date,bank,source,review_clean
Horrible customer service and app crashes Horrible!!,1,2025-01-15,BOA,google_play,horrible customer service and app crashes horrible!!
I love it,5,2025-01-14,BOA,google_play,i love it
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,BOA,google_play,it keeps asking me to turn off developer mode even when dev mode is off. couldn't use it.
Good🙏,5,2025-01-12,BOA,google_play,good🙏
Like to much,5,2025-01-11,BOA,google_play,like to much
Thank you,5,2025-01-10,BOA,google_play,thank you
Perfect,5,2025-01-09,BOA,google_play,perfect
The best of best,5,2025-01-09,BOA,google_play,the best of best
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,BOA,google_play,i was using this app for long time it amazing user friendly ui but the i can't found for get pin button in the app
Great 👍,5,2025-01-04,BOA,google_play,great 👍
