review,rating,date,bank,source
network error,5,2025-07-29,Dashen,google_play
fast,5,2025-07-29,Dashen,google_play
100 good,5,2025-07-29,Dashen,google_play
ok,5,2025-07-29,Dashen,google_play
Good,5,2025-07-28,Dashen,google_play
It stop working most of the time.,2,2025-07-28,Dashen,google_play
i were smothely using the app for the last 5 month but somehow its not working to now so what shall i do it becames like i can open the app even i can't open it if u have solution's pls help me kindly tnx,1,2025-07-28,Dashen,google_play
wow,5,2025-07-26,Dashen,google_play
Best app,5,2025-07-25,Dashen,google_play
"Simple for usage and well designed, attractive in its visual design, ""Always One Step Ahead""",5,2025-07-24,Dashen,google_play
amazing product,5,2025-07-23,Dashen,google_play
"this app is not good and compatible with other Ethiopian bank apps, it is not fast, is stacks sometimes ,even some days it stops working at all.",1,2025-07-23,Dashen,google_play
ok,5,2025-07-22,Dashen,google_play
like it,5,2025-07-22,Dashen,google_play
Great always one step ahead and most reliable bank,5,2025-07-22,Dashen,google_play
u need to start cash out service,4,2025-07-22,Dashen,google_play
all in one super app,5,2025-07-21,Dashen,google_play
Fayla,5,2025-07-20,Dashen,google_play
"The app even in its' first phase is too far one step booster that enables a user to perform a seamless Banking service with multi step security features at his/her comfort zone. It really assured that Dashen Bank is living the Logo ""ALWAYS ONE STEP AHEAD""",5,2025-07-20,Dashen,google_play
ይሄ App ደስ ይላል ሁላችሁም አውርዱት እላለሁ🤭,5,2025-07-19,Dashen,google_play
"Best App .. Good job, Dashen Bank",5,2025-07-16,Dashen,google_play
good application,5,2025-07-15,Dashen,google_play
Excellent App ...,5,2025-07-15,Dashen,google_play
the worst app I have ever seen,1,2025-07-14,Dashen,google_play
very good compared to Amole!,5,2025-07-13,Dashen,google_play
"while it's very secure, it is very slower than other mobile banking apps. it is very lazy app!",2,2025-07-12,Dashen,google_play
👍😊😊😊,5,2025-07-12,Dashen,google_play
nice,5,2025-07-12,Dashen,google_play
Great application,5,2025-07-12,Dashen,google_play
very nice app,4,2025-07-11,Dashen,google_play
I am entreated app.,5,2025-07-09,Dashen,google_play
Cannot list the number of bugs with this pile of human waste. The absolute worst banking app I have ever used. 50 steps backwards. DO NOT RECOMMEND.,1,2025-07-02,Dashen,google_play
best app with best bank,5,2025-07-02,Dashen,google_play
alway slow loading,1,2025-06-30,Dashen,google_play
Best,5,2025-06-29,Dashen,google_play
good,5,2025-06-27,Dashen,google_play
"worst app ever and by any chance your account is deactivated, you are doomed",1,2025-06-27,Dashen,google_play
nice,5,2025-06-26,Dashen,google_play
Ethiopian amazing`s Dashen Bank🤝👌,3,2025-06-25,Dashen,google_play
"It's an unpredictable app, I can't make transactions, and now I can't even get the OTP! So it's going from bad to worse! Thank goodness the Amole Dashen app still exists.",1,2025-06-25,Dashen,google_play
nice app but limit up to max 600000,5,2025-06-24,Dashen,google_play
wow,5,2025-06-22,Dashen,google_play
Super,5,2025-06-21,Dashen,google_play
"I would be happy if I got a withdraw system in the application. Otherwise, everything is fine for me",4,2025-06-18,Dashen,google_play
nice app but transaction limet not enough,5,2025-06-17,Dashen,google_play
"It's an amazing application to use bank transactions in Ethiopia and it's so friendly btw, but need to ck that account link when we lost our mobile it's ver difficult to link up for the next one pls ck",5,2025-06-14,Dashen,google_play
incredible,5,2025-06-14,Dashen,google_play
perfect,4,2025-06-14,Dashen,google_play
Dashen Bank My Choice🇪🇹✌️💫,4,2025-06-13,Dashen,google_play
very simple and user friendly app Thank you Dashen Bank,5,2025-06-12,Dashen,google_play
wow,5,2025-06-12,Dashen,google_play
very good .,5,2025-06-09,Dashen,google_play
wow,5,2025-06-09,Dashen,google_play
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen,google_play
love,3,2025-06-06,Dashen,google_play
መቸሸጠ,5,2025-06-03,Dashen,google_play
wow,5,2025-06-03,Dashen,google_play
gadaa,5,2025-06-01,Dashen,google_play
Massive upgrade from the Amole app.,5,2025-05-31,Dashen,google_play
good,4,2025-05-31,Dashen,google_play
very good for this app,5,2025-05-31,Dashen,google_play
top,5,2025-05-31,Dashen,google_play
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen,google_play
Wow,5,2025-05-30,Dashen,google_play
good,5,2025-05-30,Dashen,google_play
wow to it saff and this app,5,2025-05-30,Dashen,google_play
it too slow,3,2025-05-29,Dashen,google_play
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen,google_play
👍👍👍,5,2025-05-28,Dashen,google_play
good,5,2025-05-28,Dashen,google_play
nice application,5,2025-05-27,Dashen,google_play
good,5,2025-05-27,Dashen,google_play
wow,5,2025-05-27,Dashen,google_play
useless app ever loading take long,1,2025-05-27,Dashen,google_play
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen,google_play
very useful App,1,2025-05-26,Dashen,google_play
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen,google_play
Wawww,5,2025-05-24,Dashen,google_play
very Nice,5,2025-05-23,Dashen,google_play
its best,5,2025-05-23,Dashen,google_play
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen,google_play
